ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
405;Sabratha;North Africa;Tarraconensis;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
407;Sabratha;North Africa;Iberian Peninsula;0.75;12.946;5.793295226;25;0.231731809;0.85;7.996;10.63031516;29;0.366562592;0.85;8.026;10.59058061;28;0.378235022;0.85;10.106;8.410845043;22;0.382311138
408;Sabratha;North Africa;Aegean;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
409;Sabratha;North Africa;Western Mediterranean;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
410;Sabratha;North Africa;Eastern Mediterranean;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
411;Sabratha;North Africa;unknown;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
412;Sabratha;North Africa;Pontic Sea;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
413;Sabratha;North Africa;Egypt;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
414;Sabratha;North Africa;Gallia;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
415;Sabratha;North Africa;Adria;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
416;Mallorca;Iberian Peninsula;Italy;0;0;0;25;0;184;242;76.03305785;29;2.621829581;36;549;6.557377049;28;0.234192037;0;0;0;22;0
417;Mallorca;Iberian Peninsula;Baetica;0;0;0;25;0;10;242;4.132231405;29;0.142490738;0;549;0;28;0;0;0;0;22;0
418;Mallorca;Iberian Peninsula;Tarraconensis;0;0;0;25;0;48;242;19.83471074;29;0.683955543;72;549;13.1147541;28;0.468384075;0;0;0;22;0
419;Mallorca;Iberian Peninsula;North Africa;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
421;Mallorca;Iberian Peninsula;Aegean;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
