ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
390;Leptis Magna;North Africa;Italy;0;0;0;26;0;2.5;11.5;21.73913043;29;0.749625187;2.5;11.5;21.73913043;29;0.749625187;0;0;0;22;0
391;Leptis Magna;North Africa;Baetica;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
392;Leptis Magna;North Africa;Tarraconensis;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
393;Leptis Magna;North Africa;North Africa;0;0;0;26;0;6;11.5;52.17391304;29;1.79910045;6;11.5;52.17391304;29;1.79910045;0;0;0;22;0
394;Leptis Magna;North Africa;Iberian Peninsula;0;0;0;26;0;1;11.5;8.695652174;29;0.299850075;1;11.5;8.695652174;29;0.299850075;0;0;0;22;0
395;Leptis Magna;North Africa;Aegean;0;0;0;26;0;0.5;11.5;4.347826087;29;0.149925037;0.5;11.5;4.347826087;29;0.149925037;0;0;0;22;0
396;Leptis Magna;North Africa;Western Mediterranean;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
397;Leptis Magna;North Africa;Eastern Mediterranean;0;0;0;26;0;0.5;11.5;4.347826087;29;0.149925037;0.5;11.5;4.347826087;29;0.149925037;0;0;0;22;0
398;Leptis Magna;North Africa;unknown;0;0;0;26;0;1;11.5;8.695652174;29;0.299850075;1;11.5;8.695652174;29;0.299850075;0;0;0;22;0
399;Leptis Magna;North Africa;Pontic Sea;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
400;Leptis Magna;North Africa;Egypt;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
401;Leptis Magna;North Africa;Gallia;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
402;Leptis Magna;North Africa;Adria;0;0;0;26;0;0;11.5;0;29;0;0;11.5;0;29;0;0;0;0;22;0
