ID;Site_name;region;origin;frequency_A;total_A;percentage_in_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_all_D;rounded_D;;frequency_all;total_all;percentage_all;sites_all;percentage_all_all;percentage_all_all_rounded
159;Paphos;Eastern Mediterranean;Aegean;5;35.75;13.98601399;5;2.797202797;26;0.537923615;0.5;5;22.75;21.97802198;5;4.395604396;33;0.666000666;0.7;26.5;48.25;54.92227979;3;18.3074266;31;1.771686445;1.8;10.5;47;22.34042553;4;5.585106383;24;0.930851064;0.9;;47;153.75;30.56910569;40;0.764227642;0.8
165;Caesarea;Eastern Mediterranean;Italy;0.5;1;50;5;10;26;1.923076923;1.9;0.5;1;50;5;10;33;1.515151515;1.5;0;0;0;3;0;31;0;0;16;29;55.17241379;4;13.79310345;24;2.298850575;2.3;;17;31;54.83870968;40;1.370967742;1.4
169;Caesarea;Eastern Mediterranean;unknown;0;1;0;5;0;26;0;0;0;1;0;5;0;33;0;0;0;0;0;3;0;31;0;0;12;29;41.37931034;4;10.34482759;24;1.724137931;1.7;;12;31;38.70967742;40;0.967741935;1
170;Caesarea;Eastern Mediterranean;Aegean;0.5;1;50;5;10;26;1.923076923;1.9;0.5;1;50;5;10;33;1.515151515;1.5;0;0;0;3;0;31;0;0;1;29;3.448275862;4;0.862068966;24;0.143678161;0.1;;2;31;6.451612903;40;0.161290323;0.2
176;Berytus;Eastern Mediterranean;Italy;0;0;0;5;0;26;0;0;0;0;0;5;0;33;0;0;2;2;100;3;33.33333333;31;3.225806452;3.2;0;4;0;4;0;24;0;0;;2;6;33.33333333;40;0.833333333;0.8
180;Berytus;Eastern Mediterranean;unknown;0;0;0;5;0;26;0;0;0;0;0;5;0;33;0;0;0;2;0;3;0;31;0;0;4;4;100;4;25;24;4.166666667;4.2;;4;6;66.66666667;40;1.666666667;1.7
198;Alexandria;Egypt;Italy;1.5;16;9.375;2;4.6875;26;0.360576923;0.4;1.5;16;9.375;2;4.6875;33;0.284090909;0.3;1.5;16;9.375;2;4.6875;31;0.302419355;0.3;0;0;0;1;0;24;0;0;;4.5;48;9.375;40;0.234375;0.2
200;Alexandria;Egypt;Eastern Mediterranean;13.5;16;84.375;2;42.1875;26;3.245192308;3.2;13.5;16;84.375;2;42.1875;33;2.556818182;2.6;13.5;16;84.375;2;42.1875;31;2.721774194;2.7;0;0;0;1;0;24;0;0;;40.5;48;84.375;40;2.109375;2.1
205;Alexandria;Egypt;Pontic Sea;0.5;16;3.125;2;1.5625;26;0.120192308;0.1;0.5;16;3.125;2;1.5625;33;0.09469697;0.1;0.5;16;3.125;2;1.5625;31;0.100806452;0.1;0;0;0;1;0;24;0;0;;1.5;48;3.125;40;0.078125;0.1
212;Karanis;Egypt;North Africa;2.55;3.8;67.10526316;2;33.55263158;26;2.58097166;2.6;0.6;2.35;25.53191489;2;12.76595745;33;0.773694391;0.8;0.52;4.27;12.17798595;2;6.088992974;31;0.392838256;0.4;0.85;4.1;20.73170732;1;20.73170732;24;0.863821138;0.9;;4.52;14.52;31.12947658;40;0.778236915;0.8
