ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_in_all_D;
58;Valencia;Baetica;Western Mediterranean;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
59;Valencia;Baetica;Eastern Mediterranean;0.5;13.5;3.703703704;2;1.851851852;26;0.142450142;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
60;Valencia;Baetica;unknown;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
61;Valencia;Baetica;Pontic Sea;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
62;Valencia;Baetica;Egypt;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
63;Valencia;Baetica;Gallia;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
64;Valencia;Baetica;Adria;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
65;Berytus;Eastern Mediterranean;Italy;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
66;Berytus;Eastern Mediterranean;Baetica;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
67;Berytus;Eastern Mediterranean;Tarraconensis;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
68;Berytus;Eastern Mediterranean;North Africa;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;1;253;0.395256917;3;0.131752306;22;0.017966223;
69;Berytus;Eastern Mediterranean;Iberian Peninsula;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
70;Berytus;Eastern Mediterranean;Aegean;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;10;253;3.95256917;3;1.317523057;22;0.179662235;
71;Berytus;Eastern Mediterranean;Western Mediterranean;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;9;253;3.557312253;3;1.185770751;22;0.161696011;
72;Berytus;Eastern Mediterranean;Eastern Mediterranean;0;0;0;2;0;26;0;0;0;0;2;0;29;0;7;7;100;3;33.33333333;29;3.448275862;208;253;82.21343874;3;27.40447958;22;3.736974488;
73;Berytus;Eastern Mediterranean;unknown;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;25;253;9.881422925;3;3.293807642;22;0.449155587;
74;Berytus;Eastern Mediterranean;Pontic Sea;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
75;Berytus;Eastern Mediterranean;Egypt;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
76;Berytus;Eastern Mediterranean;Gallia;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
77;Berytus;Eastern Mediterranean;Adria;0;0;0;2;0;26;0;0;0;0;2;0;29;0;0;7;0;3;0;29;0;0;253;0;3;0;22;0;
78;Caesarea;Eastern Mediterranean;Italy;3;12.5;24;2;12;26;0.923076923;3;12.4999;24.000192;2;12.000096;29;0.827592828;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
79;Caesarea;Eastern Mediterranean;Baetica;0;12.5;0;2;0;26;0;0;12.4999;0;2;0;29;0;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
80;Caesarea;Eastern Mediterranean;Tarraconensis;0;12.5;0;2;0;26;0;0;12.4999;0;2;0;29;0;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
81;Caesarea;Eastern Mediterranean;North Africa;0.5;12.5;4;2;2;26;0.153846154;0.5;12.4999;4.000032;2;2.000016;29;0.137932138;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
82;Caesarea;Eastern Mediterranean;Iberian Peninsula;2.5;12.5;20;2;10;26;0.769230769;2.8333;12.4999;22.66658133;2;11.33329067;29;0.781606253;0.5833;8.4999;6.862433676;3;2.287477892;29;0.236635644;0.5833;8.4999;6.862433676;3;2.287477892;22;0.311928803;
83;Caesarea;Eastern Mediterranean;Aegean;3;12.5;24;2;12;26;0.923076923;3;12.4999;24.000192;2;12.000096;29;0.827592828;0.5;8.4999;5.882422146;3;1.960807382;29;0.202842143;0.5;8.4999;5.882422146;3;1.960807382;22;0.267382825;
